,datas,termos,id,posição
0,2022-06-06,adidas,amaro.amaroandroid,
1,2022-06-06,adidas,br.com.dafiti,19.0
2,2022-06-06,adidas,br.com.zattini,85.0
3,2022-06-06,adidas,com.farfetch.farfetchshop,77.0
4,2022-06-06,adidas,com.mobfiq.offpremium,59.0
5,2022-06-06,adidas,com.privalia.br,99.0
6,2022-06-06,calvin klein jeans,amaro.amaroandroid,17.0
7,2022-06-06,calvin klein jeans,br.com.dafiti,7.0
8,2022-06-06,calvin klein jeans,br.com.zattini,12.0
9,2022-06-06,calvin klein jeans,com.farfetch.farfetchshop,36.0
10,2022-06-06,calvin klein jeans,com.mobfiq.offpremium,42.0
11,2022-06-06,calvin klein jeans,com.privalia.br,3.0
12,2022-06-06,capodarte,amaro.amaroandroid,
13,2022-06-06,capodarte,br.com.dafiti,3.0
14,2022-06-06,capodarte,br.com.zattini,8.0
15,2022-06-06,capodarte,com.farfetch.farfetchshop,
16,2022-06-06,capodarte,com.mobfiq.offpremium,
17,2022-06-06,capodarte,com.privalia.br,9.0
18,2022-06-06,compras online,amaro.amaroandroid,
19,2022-06-06,compras online,br.com.dafiti,
20,2022-06-06,compras online,br.com.zattini,21.0
21,2022-06-06,compras online,com.privalia.br,
22,2022-06-06,cravo e canela,amaro.amaroandroid,
23,2022-06-06,cravo e canela,br.com.dafiti,2.0
24,2022-06-06,cravo e canela,br.com.zattini,9.0
25,2022-06-06,cravo e canela,com.mobfiq.offpremium,
26,2022-06-06,cravo e canela,com.privalia.br,12.0
27,2022-06-06,lacoste,amaro.amaroandroid,26.0
28,2022-06-06,lacoste,br.com.dafiti,8.0
29,2022-06-06,lacoste,br.com.zattini,10.0
30,2022-06-06,lacoste,com.farfetch.farfetchshop,21.0
31,2022-06-06,lacoste,com.mobfiq.offpremium,24.0
32,2022-06-06,lacoste,com.privalia.br,17.0
33,2022-06-06,morena rosa,amaro.amaroandroid,9.0
34,2022-06-06,morena rosa,br.com.dafiti,6.0
